file_name,X,Y,W,H,type,X.Y,W*H
IPC202_22.99257_120.17994_2021_12_09_13_57_04_4986.jpg,119,389,253,468,D00,,118404
IPC202_22.99257_120.17994_2021_12_09_13_57_04_4986.jpg,889,417,1092,716,D00,,781872
IPC202_23.3052_120.2992_2021_12_18_11_26_59.jpg,,,,,,,0
IPC202_23.00374_120.17899_2021_10_25_15_52_36.jpg,631,250,705,372,D12,,262260
IPC202_23.00374_120.17899_2021_10_25_15_52_36.jpg,68,623,162,717,D00,,116154
IPC202_23.00374_120.17899_2021_10_25_15_52_36.jpg,663,450,729,720,D00,,524880
IPC202_23.18939_120.34077_2021_11_23_15_36_02.jpg,1006,366,1088,389,D10,,423232
IPC202_23.18939_120.34077_2021_11_23_15_36_02.jpg,337,366,433,479,D00,,207407
IPC202_23.18939_120.34077_2021_11_23_15_36_02.jpg,1182,271,1280,356,D20,,455680
IPC202_23.18939_120.34077_2021_11_23_15_36_02.jpg,1206,524,1279,560,D10,,716240
IPC202_23.18939_120.34077_2021_11_23_15_36_02.jpg,454,232,520,327,D00,,170040
78253.jpg,193,894,828,1533,D20,,1269324
78253.jpg,407,782,493,833,D40,,410669
IPC204_22.61923_120.30832_2021_05_01_11_14_18.jpg,1006,588,1096,678,D21,,743088
IPC204_22.61923_120.30832_2021_05_01_11_14_18.jpg,1157,614,1239,699,D21,,866061
IPC204_22.61001_120.29948_2021_04_05_09_12_34.jpg,,,,,,,0
IPC202_23.05203_120.21324_2022_04_19_13_12_00.jpg,1276,1028,1517,1080,D10,,1638360
IPC202_23.05203_120.21324_2022_04_19_13_12_00.jpg,1258,298,1900,464,D10,,881600
IPC202_22.9878_120.20459_2021_08_20_10_48_45.jpg,736,432,776,525,D00,,407400
IPC202_22.9878_120.20459_2021_08_20_10_48_45.jpg,683,621,752,717,D00,,539184
IPC202_22.98315_120.20557_2022_03_04_13_10_41.jpg,1364,508,1477,638,D00,,942326
IPC202_22.98315_120.20557_2022_03_04_13_10_41.jpg,1082,323,1173,469,D00,,550137
IPC202_22.98315_120.20557_2022_03_04_13_10_41.jpg,1264,725,1461,1077,D00,,1573497
IPC202_23.01559_120.2138_2021_10_04_13_34_41_1120.jpg,703,468,946,582,D12,,550572
IPC202_23.01559_120.2138_2021_10_04_13_34_41_1120.jpg,402,457,715,496,D10,,354640
IPC202_23.01559_120.2138_2021_10_04_13_34_41_1120.jpg,1116,319,1226,382,D00,,468332
IPC202_23.01559_120.2138_2021_10_04_13_34_41_1120.jpg,1063,415,1191,450,D41,,535950
IPC202_23.01559_120.2138_2021_10_04_13_34_41_1120.jpg,710,469,968,587,D20,,568216
IPC202_23.01559_120.2138_2021_10_04_13_34_41_1120.jpg,439,332,514,356,D40,,182984
IPC202_23.01559_120.2138_2021_10_04_13_34_41_1120.jpg,250,315,409,372,D12,,152148
IPC202_23.01559_120.2138_2021_10_04_13_34_41_1120.jpg,257,388,354,473,D00,,167442
IPC204_22.62316_120.29423_2021_04_05_09_04_35.jpg,,,,,,,0
IPC202_23.01348_120.20771_2021_10_25_14_21_28.jpg,957,520,1099,714,D00,,784686
IPC202_22.95361_120.27997_2022_04_02_12_05_24.jpg,667,634,1123,1072,D12,,1203856
IPC202_22.95361_120.27997_2022_04_02_12_05_24.jpg,838,286,1060,542,D12,,574520
IPC202_22.95361_120.27997_2022_04_02_12_05_24.jpg,1449,740,1896,1074,D12,,2036304
IPC202_22.95361_120.27997_2022_04_02_12_05_24.jpg,651,661,1119,1079,D20,,1207401
IPC202_23.27614_120.30747_2021_12_18_13_37_08.jpg,168,468,372,719,D00,,267468
IPC202_23.27614_120.30747_2021_12_18_13_37_08.jpg,212,382,263,424,D00,,111512
IPC202_23.27614_120.30747_2021_12_18_13_37_08.jpg,406,258,520,434,D00,,225680
IPC204_22.62847_120.31379_2021_04_24_11_10_26.jpg,422,542,832,717,D12,,596544
IPC202_23.03729_120.2134_2022_04_19_12_42_51.jpg,1366,331,1455,390,D00,,567450
