filename,width,height,class,xmin,ymin,xmax,ymax
IPC202_23.0134_120.21251_2021_10_25_14_52_25.jpg,1280,720,D21,784,511,1022,601
IPC202_23.0134_120.21251_2021_10_25_14_52_25.jpg,1280,720,D41,781,504,927,594
IPC202_22.97496_120.23_2022_03_06_15_27_15_6655.jpg,1920,1080,D21,1041,603,1353,701
IPC202_22.97496_120.23_2022_03_06_15_27_15_6655.jpg,1920,1080,D21,1053,694,1414,841
IPC202_22.97496_120.23_2022_03_06_15_27_15_6655.jpg,1920,1080,D40,1145,783,1405,849
IPC202_22.97496_120.23_2022_03_06_15_27_15_6655.jpg,1920,1080,D00,1102,305,1189,491
IPC204_22.63223_120.29293_2021_04_24_11_48_07.jpg,1280,720,D21,1077,462,1187,554
IPC204_22.63223_120.29293_2021_04_24_11_48_07.jpg,1280,720,D21,963,459,1069,541
IPC202_23.02755_120.20083_2022_01_21_12_16_47.jpg,1920,1080,D20,1093,421,1301,566
IPC202_23.02755_120.20083_2022_01_21_12_16_47.jpg,1920,1080,D00,820,520,883,736
IPC202_23.22641_120.3513_2021_11_23_15_44_20.jpg,1280,720,D10,618,535,1169,607
IPC202_23.22641_120.3513_2021_11_23_15_44_20.jpg,1280,720,D00,504,247,571,342
IPC202_23.22641_120.3513_2021_11_23_15_44_20.jpg,1280,720,D00,431,360,492,440
IPC202_23.238_120.41777_2021_11_23_16_12_31.jpg,1280,720,D60,173,275,477,442
IPC202_23.238_120.41777_2021_11_23_16_12_31.jpg,1280,720,D20,1076,233,1245,326
IPC202_23.238_120.41777_2021_11_23_16_12_31.jpg,1280,720,D20,915,185,1047,262
IPC202_23.238_120.41777_2021_11_23_16_12_31.jpg,1280,720,D00,406,283,466,420
94440.jpg,858,1907,D41,608,229,680,261
IPC202_23.05859_120.20444_2022_04_19_13_45_16.jpg,1920,1080,D41,1299,542,1549,631
IPC202_22.99139_120.15925_2021_11_17_14_01_24.jpg,1280,720,D10,602,547,730,572
IPC202_23.27448_120.36744_2021_12_18_13_21_52.jpg,1280,720,D00,807,249,971,473
IPC202_23.27448_120.36744_2021_12_18_13_21_52.jpg,1280,720,D00,1130,562,1278,720
IPC202_22.99022_120.23372_2020_11_23_11_43_46.jpg,1280,720,D20,630,423,710,535
IPC202_22.99022_120.23372_2020_11_23_11_43_46.jpg,1280,720,D20,566,545,674,696
IPC204_22.62794_120.29235_2021_04_05_09_02_20.jpg,1280,720,D00,207,417,410,711
