/mnt/ai_dev/image/result/ast_road_n/ast_road_new_scratchIPC202_23.0698_120.12749_2021_12_08_11_34_11_1353.jpg,458,389,520,456,D00
/mnt/ai_dev/image/result/ast_road_n/ast_road_new_scratchIPC202_23.0698_120.12749_2021_12_08_11_34_11_1353.jpg,532,424,673,714,D12
/mnt/ai_dev/image/result/ast_road_n/ast_road_new_scratchIPC202_22.98552_120.22244_2021_11_17_15_05_26.jpg,661,468,1106,683,D10
/mnt/ai_dev/image/result/ast_road_n/ast_road_new_scratchIPC202_22.98552_120.22244_2021_11_17_15_05_26.jpg,668,463,1106,681,D00
/mnt/ai_dev/image/result/ast_road_n/ast_road_new_scratchIPC202_23.02869_120.21424_2022_04_19_12_24_34.jpg,63,933,201,1079,D00
/mnt/ai_dev/image/result/ast_road_n/ast_road_new_scratchIPC202_23.02869_120.21424_2022_04_19_12_24_34.jpg,1682,629,1920,872,D12
/mnt/ai_dev/image/result/ast_road_n/ast_road_new_scratchIPC202_23.02869_120.21424_2022_04_19_12_24_34.jpg,372,618,525,765,D00
/mnt/ai_dev/image/result/ast_road_n/ast_road_new_scratchIPC202_23.02869_120.21424_2022_04_19_12_24_34.jpg,1445,389,1854,623,D20
/mnt/ai_dev/image/result/ast_road_n/ast_road_new_scratchIPC202_22.99133_120.15896_2021_11_17_14_01_17.jpg,555,569,615,591,D10
/mnt/ai_dev/image/result/ast_road_n/ast_road_new_scratchIPC202_22.9827_120.2415_2020_11_23_15_07_32.jpg,117,574,228,622,D41
/mnt/ai_dev/image/result/ast_road_n/ast_road_new_scratchIPC202_22.98953_120.16224_2021_08_20_13_02_29.jpg,1117,557,1201,614,D40
/mnt/ai_dev/image/result/ast_road_n/ast_road_new_scratchIPC204_22.63058_120.29912_2021_09_25_09_48_50.jpg,352,261,401,293,D00
/mnt/ai_dev/image/result/ast_road_n/ast_road_new_scratchIPC204_22.63058_120.29912_2021_09_25_09_48_50.jpg,416,302,492,348,D00
/mnt/ai_dev/image/result/ast_road_n/ast_road_new_scratchIPC204_22.63058_120.29912_2021_09_25_09_48_50.jpg,729,540,906,665,D21
/mnt/ai_dev/image/result/ast_road_n/ast_road_new_scratchIPC202_22.99517_120.20751_2021_10_25_15_33_59.jpg,1050,479,1218,596,D20
/mnt/ai_dev/image/result/ast_road_n/ast_road_new_scratchIPC202_22.99517_120.20751_2021_10_25_15_33_59.jpg,939,363,1097,482,D20
/mnt/ai_dev/image/result/ast_road_n/ast_road_new_scratchIPC202_22.99517_120.20751_2021_10_25_15_33_59.jpg,1050,477,1222,603,D12
